Customer Postal Code;Customer Key;Customer ID;Customer Name;Customer Segment;Customer City;State Key;Customer State;Customer Region
55407;1;AA-10315;Alex Avila;Consumer;Minneapolis;22;Minnesota;Central
94109;2;AA-10315;Alex Avila;Consumer;San Francisco;4;California;West
94122;3;AA-10315;Alex Avila;Consumer;San Francisco;4;California;West
78664;4;AA-10315;Alex Avila;Consumer;Round Rock;42;Texas;Central
10011;5;AA-10315;Alex Avila;Consumer;New York City;31;New York;East
85204;6;AA-10375;Allen Armold;Consumer;Mesa;2;Arizona;West
68104;7;AA-10375;Allen Armold;Consumer;Omaha;26;Nebraska;Central
90008;8;AA-10375;Allen Armold;Consumer;Los Angeles;4;California;West
97301;9;AA-10375;Allen Armold;Consumer;Salem;36;Oregon;West
30318;10;AA-10375;Allen Armold;Consumer;Atlanta;10;Georgia;South
91730;11;AA-10375;Allen Armold;Consumer;Rancho Cucamonga;4;California;West
37087;12;AA-10375;Allen Armold;Consumer;Lebanon;41;Tennessee;South
10035;13;AA-10375;Allen Armold;Consumer;New York City;31;New York;East
2908;14;AA-10375;Allen Armold;Consumer;Providence;38;Rhode Island;East
28027;15;AA-10480;Andrew Allen;Consumer;Concord;32;North Carolina;South
6457;16;AA-10480;Andrew Allen;Consumer;Middletown;6;Connecticut;East
65807;17;AA-10480;Andrew Allen;Consumer;Springfield;24;Missouri;Central
48234;18;AA-10480;Andrew Allen;Consumer;Detroit;21;Michigan;Central
19013;19;AA-10645;Anna Andreadi;Consumer;Chester;37;Pennsylvania;East
94109;20;AA-10645;Anna Andreadi;Consumer;San Francisco;4;California;West
40324;21;AA-10645;Anna Andreadi;Consumer;Georgetown;16;Kentucky;South
92105;22;AA-10645;Anna Andreadi;Consumer;San Diego;4;California;West
1852;23;AA-10645;Anna Andreadi;Consumer;Lowell;20;Massachusetts;East
73120;24;AA-10645;Anna Andreadi;Consumer;Oklahoma City;35;Oklahoma;Central
98103;25;AB-10015;Aaron Bergman;Consumer;Seattle;46;Washington;West
76017;26;AB-10015;Aaron Bergman;Consumer;Arlington;42;Texas;Central
73120;27;AB-10015;Aaron Bergman;Consumer;Oklahoma City;35;Oklahoma;Central
10009;28;AB-10060;Adam Bellavance;Home Office;New York City;31;New York;East
3301;29;AB-10060;Adam Bellavance;Home Office;Concord;28;New Hampshire;East
