"customer_segment","customer_name","seller_name"
Consumer,Alex Avila,Derrick Snyders
Consumer,Alex Avila,Derrick Snyders
Consumer,Allen Armold,Derrick Snyders
Consumer,Allen Armold,Derrick Snyders
Consumer,Aaron Bergman,Derrick Snyders
Consumer,Aaron Bergman,Derrick Snyders
Consumer,Aaron Bergman,Derrick Snyders
Home Office,Alejandro Ballentine,Derrick Snyders
Corporate,Alyssa Crouse,Derrick Snyders
Corporate,Alyssa Crouse,Derrick Snyders
Consumer,Alejandro Grove,Derrick Snyders
Corporate,Aleksandra Gannaway,Derrick Snyders
Corporate,Aleksandra Gannaway,Derrick Snyders
Corporate,Aaron Hawkins,Derrick Snyders
Corporate,Aaron Hawkins,Derrick Snyders
Corporate,Adam Hart,Derrick Snyders
Home Office,Adrian Hane,Derrick Snyders
Consumer,Alan Hwang,Derrick Snyders
Consumer,Alan Hwang,Derrick Snyders
Consumer,Angele Hood,Derrick Snyders
Consumer,Angele Hood,Derrick Snyders
Consumer,Arianne Irving,Derrick Snyders
Consumer,Arianne Irving,Derrick Snyders
Consumer,Arianne Irving,Derrick Snyders
Consumer,Arianne Irving,Derrick Snyders
Consumer,Arianne Irving,Derrick Snyders
Corporate,Anthony Johnson,Derrick Snyders
Corporate,Anthony Johnson,Derrick Snyders
Corporate,Anthony Johnson,Derrick Snyders
Corporate,Anthony Johnson,Derrick Snyders
Corporate,Anthony Johnson,Derrick Snyders
Corporate,Anthony Johnson,Derrick Snyders
Corporate,Anthony Johnson,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Consumer,Arthur Prichep,Derrick Snyders
Corporate,Allen Rosenblatt,Derrick Snyders
Corporate,Allen Rosenblatt,Derrick Snyders
Corporate,Anthony Rawles,Derrick Snyders
Consumer,Adam Shillingsburg,Derrick Snyders
Consumer,Alan Shonely,Derrick Snyders
Home Office,Ann Steele,Derrick Snyders
Home Office,Alyssa Tate,Derrick Snyders
Corporate,Andy Yotov,Derrick Snyders
Corporate,Andy Yotov,Derrick Snyders
Corporate,Andy Yotov,Derrick Snyders
Corporate,Andy Yotov,Derrick Snyders
Corporate,Barry Blumstein,Derrick Snyders
Home Office,Becky Castell,Derrick Snyders
Consumer,Brian Dahlen,Derrick Snyders
Consumer,Brian Dahlen,Derrick Snyders
Consumer,Brian Dahlen,Derrick Snyders
Home Office,Barry Franz,Derrick Snyders
Corporate,Barry Französisch,Derrick Snyders
Home Office,Ben Ferrer,Derrick Snyders
Home Office,Ben Ferrer,Derrick Snyders
Corporate,Beth Fritzler,Derrick Snyders
Corporate,Beth Fritzler,Derrick Snyders
Consumer,Brosina Hoffman,Derrick Snyders
Consumer,Brosina Hoffman,Derrick Snyders
Consumer,Brosina Hoffman,Derrick Snyders
