"customer_segment","customer_name","seller_name"
Consumer,Patrick O'Donnell,Kaoru Xun
Consumer,Patrick O'Donnell,Kaoru Xun
Consumer,Eugene Barchas,Kaoru Xun
Consumer,Eugene Barchas,Kaoru Xun
Corporate,Maribeth Yedwab,Kaoru Xun
Corporate,Maribeth Yedwab,Kaoru Xun
Consumer,Greg Hansen,Kaoru Xun
Consumer,Greg Hansen,Kaoru Xun
Consumer,Greg Hansen,Kaoru Xun
Consumer,Greg Hansen,Kaoru Xun
Consumer,Greg Hansen,Kaoru Xun
Consumer,Greg Hansen,Kaoru Xun
Consumer,John Dryer,Kaoru Xun
Consumer,Patrick Gardner,Kaoru Xun
Consumer,Carlos Meador,Kaoru Xun
Consumer,John Huston,Kaoru Xun
Corporate,Rachel Payne,Kaoru Xun
Corporate,Tamara Chand,Kaoru Xun
Corporate,Tamara Chand,Kaoru Xun
Corporate,Tamara Chand,Kaoru Xun
Corporate,Tamara Chand,Kaoru Xun
Consumer,Greg Matthias,Kaoru Xun
Corporate,Susan Gilcrest,Kaoru Xun
Corporate,Susan Gilcrest,Kaoru Xun
Corporate,Christine Abelman,Kaoru Xun
Consumer,Debra Catini,Kaoru Xun
Corporate,George Zrebassa,Kaoru Xun
Consumer,John Lee,Kaoru Xun
Consumer,John Lee,Kaoru Xun
Consumer,Jocasta Rupert,Kaoru Xun
Consumer,Nat Carroll,Kaoru Xun
Corporate,Denny Joy,Kaoru Xun
Corporate,Dan Reichenbach,Kaoru Xun
Corporate,Dan Reichenbach,Kaoru Xun
Corporate,Dan Reichenbach,Kaoru Xun
Corporate,Greg Guthrie,Kaoru Xun
Consumer,Gary McGarr,Kaoru Xun
Corporate,Laurel Workman,Kaoru Xun
Corporate,Laurel Workman,Kaoru Xun
Corporate,Laurel Workman,Kaoru Xun
Consumer,Maribeth Schnelling,Kaoru Xun
Consumer,Roger Demir,Kaoru Xun
Corporate,Sally Hughsby,Kaoru Xun
Consumer,Henry MacAllister,Kaoru Xun
Consumer,Henry MacAllister,Kaoru Xun
Consumer,Maureen Gnade,Kaoru Xun
Corporate,Erin Smith,Kaoru Xun
Corporate,Erin Smith,Kaoru Xun
Corporate,Brendan Sweed,Kaoru Xun
Corporate,Brendan Sweed,Kaoru Xun
Corporate,David Kendrick,Kaoru Xun
Consumer,Jeremy Farry,Kaoru Xun
Consumer,Jeremy Farry,Kaoru Xun
Corporate,Brian Moss,Kaoru Xun
Corporate,Brian Moss,Kaoru Xun
Consumer,Jessica Myrick,Kaoru Xun
Consumer,Lycoris Saunders,Kaoru Xun
Consumer,Sheri Gordon,Kaoru Xun
Consumer,Sheri Gordon,Kaoru Xun
Consumer,Sheri Gordon,Kaoru Xun
Consumer,Sheri Gordon,Kaoru Xun
Consumer,Shirley Jackson,Kaoru Xun
Corporate,Darren Budd,Kaoru Xun
Corporate,Erica Bern,Kaoru Xun
Corporate,Justin Ellison,Kaoru Xun
Consumer,Nora Paige,Kaoru Xun
Consumer,Nora Paige,Kaoru Xun
Home Office,Robert Dilbeck,Kaoru Xun
Home Office,Robert Dilbeck,Kaoru Xun
Home Office,Robert Dilbeck,Kaoru Xun
Consumer,Craig Carreira,Kaoru Xun
